"SCCS.Name","PSF.Cluster.Number","OWC","eHRAF.Name","Principle.Authorities","Place.Focus","Ethnographic.Present","Coder","Coding.Date","Revision.Date","ID","EA.ID","PSF.Cluster"
"Basseri",NA,"MA10","Basseri","Bath, F.K. 1961Bath, F.K. 1969","Nomadic branch","1958","Coded by DR and revised by DR",2022-11-01,NA,58,"Ea06",NA
"Punjabi (West)",NA,"AT03","West Punjabi","1. Eglar, 19572. Eglar, 1960","Mohla Village","1950","AD",2022-11-23,NA,59,"Ea13",NA
"Gond",NA,"AW32","Gond","Elwin 1947, Grigson 1949","Hill Maria","1938","Coded by SK and revised by DR",2022-11-22,NA,60,"Eg13",NA
"Santal","28","AW42","Santal","Biswas 1956, Culshaw 1949, Mukherjea 1962","Bankura and Birbhum districts of Bengal","1940","Coded by SK and revised by DR",2022-11-04,NA,62,"Ef01","28"
"Uttar Pradesh",NA,"AW19","Uttar Pradesh","1. Opler and Singh, 19522. Opler and Singh, 1954","Village and vicinity of Senapur","1945","AD",2022-11-22,NA,63,"Ef11",NA
"Burusho",NA,"AV07","Burusho","Lorimer 1935, 1938, 1939","Hunza State","1934","Coded by SK and revised by DR",2022-10-28,NA,64,"Ee02",NA
"Kazakh",NA,"RQ02","Kazakh","Grodekov, N.I. 1889Hudson, A.E. 1938","Great Horde","1885","DR",2022-11-15,NA,65,"Eb01",NA
"Khalka Mongols",NA,"AH01","Mongolia","1. Vreeland, 1973","Narobanchin Territory","1920","AD",2022-11-17,NA,66,"Eb03",NA
"Lepcha",NA,"AK05","Lepcha","Gorer 1938","Lingthem and vicinity","1937","CH",2022-10-06,NA,68,"Ee03",NA
"Garo","27","AR05","Garo","Burling, R. 1963","Village and environs of Rengsanggri","1955","Resolved between DR and SK",2023-01-09,NA,69,"Ei01","27"
"Lakher",NA,"AR20","Mara","1. Parry and Hutton, 1932","Entirety, tribe","1930","Coded by AD and revised by AD",2022-11-26,2023-07-21,70,"Ei04",NA
"Burmans",NA,"AP04","Burmans","Scott 1910","Nondwin village","1965","CH",2022-11-09,NA,71,"Ei03",NA
"Lamet",NA,"AM28","Rmeet","1. Izikowitz, 19512. Izikowitz, 1985a3. Izikowitz, 1985b4. Izikowitz, 1958c","Entirety, tribe, northwestern Laos","1940","AD",2022-11-16,NA,72,"Ej01",NA
"Vietnamese",NA,"AM11","Vietnamese","1. Gourou and Miller, 1936","Red River Delta in Tonkin","1930","AD",2022-11-26,NA,73,"Ej04",NA
"Siamese (Central Thai)","30","AO07","Central Thai","1. Goldsen et al., 19572. J. R. Hanks, 19633. L. M. Hanks, 19624. Hauck et al., 19565. Hauck et al., 19596. Ingersoll, 19667. Janlekha, 19568. Phillips, 19669. Sharp and L. M. Hanks, 197810. Textor et al., 1973","Village of Bang Chan","1955","Resolved between AD and SK",2023-01-09,NA,76,"Ej09","30"
"Andamanese","31","AZ02","Andamans","1. Man, 19322. Radcliffe-Brown, 1922","Aka-Bea tribe of South Andaman","1860","AD",2022-10-17,NA,79,"Eh01","31"
"Javanese",NA,"OE05","Javanese","Dewey 1962,  Fagg 1982, Geertz 1975, Jay 1969","Town and environs of Pare","1954","CH",2022-11-16,NA,83,"Ib02",NA
"Balinese",NA,"OF07","Balinese","Geertz 1967","Tihingan village","1958","CH",2022-11-16,NA,84,"Ib03",NA
"Iban","33","OC06","Iban","Freeman 1955","Baleh","1950","CH",2022-11-07,NA,85,"Ib01","33"
"Badjau",NA,"OA08","Sama-Badjau","Nimmo 1990, 1965, 1972, 1990, 1968, 1970, 2000","Tawi-Tawi and adjacent islands","1963","Coded by SK and revised by DR",2022-10-31,NA,NA,NA,NA
"Toradja","34","OG11","Eastern Toraja","1. Adriani and Kruijt, 19502. Adriani and Kruijt, 1951a3. Adriani and Kruijt, 1951b4. Adriani and Kruijt, 1951c","Bare’e subgroup","1910","AD",2022-10-18,NA,87,"Ic05","34"
"Tiwi",NA,"OI20","Tiwi","Hart, C.W.M 1960Hart, C.W.M 1939","Melville Island","1929","DR",2022-11-25,NA,90,"Id03",NA
"Aranda","35","OI08","Aranda","Spencer Sir, B. and Gillen, F. J. 1927","Alice springs and environs.","1896","Resolved between DR and CH then revised by DR",2023-01-09,NA,91,"Id01","35"
"Orokaiva",NA,"OJ23","Orokaiva","Williams 1928, 1930","Northern District, Papua New GuineaAiga subtribe","1925","Coded by CH and revised by AD",2022-11-09,2023-07-21,92,"Ie09",NA
